GEO.id;GEO.id2;GEO.display-label;rescen42010;resbase42010;respop72010;respop72011;respop72012;respop72013;respop72014;respop72015;respop72016
1620000US2404475;2404475;Barnesville town, Maryland;172;173;174;176;177;178;178;178;179
1620000US2410225;2410225;Brookeville town, Maryland;134;128;129;130;131;132;132;132;132
1620000US2416620;2416620;Chevy Chase town, Maryland;2824;2824;2836;2878;2908;2930;2955;2971;2989
1620000US2416720;2416720;Chevy Chase Section Five village, Maryland;658;673;676;685;693;698;703;706;711
1620000US2416730;2416730;Chevy Chase Section Three village, Maryland;760;750;753;763;772;777;782;787;793
1620000US2416775;2416775;Chevy Chase View town, Maryland;920;928;932;947;958;967;975;981;987
1620000US2416787;2416787;Chevy Chase Village town, Maryland;1953;1951;1960;1988;2010;2026;2039;2050;2062
1620000US2431175;2431175;Gaithersburg city, Maryland;59933;59905;60191;61503;63048;65761;66628;67192;67776
1620000US2431525;2431525;Garrett Park town, Maryland;992;987;991;1007;1018;1026;1033;1040;1046
1620000US2432900;2432900;Glen Echo town, Maryland;255;255;256;259;262;265;266;268;269
1620000US2443500;2443500;Kensington town, Maryland;2213;2239;2249;2285;2312;2331;2349;2364;2379
1620000US2446250;2446250;Laytonsville town, Maryland;353;354;356;360;363;367;370;373;374
1620000US2450965;2450965;Martin's Additions village, Maryland;933;941;945;960;971;980;985;990;997
1620000US2456400;2456400;North Chevy Chase village, Maryland;519;551;553;563;571;575;579;582;587
1620000US2462850;2462850;Poolesville town, Maryland;4883;4854;4875;4959;5021;5068;5113;5151;5190
1620000US2467675;2467675;Rockville city, Maryland;61209;61250;61500;62102;63147;63736;65379;66673;66940
1620000US2473350;2473350;Somerset town, Maryland;1216;1200;1205;1224;1237;1249;1258;1266;1277
1620000US2476650;2476650;Takoma Park city, Maryland;16715;16722;16792;17207;17371;17503;17541;17650;17765
1620000US2481675;2481675;Washington Grove town, Maryland;555;529;531;540;547;551;555;559;564