450,Açailândia
451,Afonso Cunha
452,Água Doce do Maranhão
453,Alcântara
454,Aldeias Altas
455,Altamira do Maranhão
456,Alto Alegre do Maranhão
457,Alto Alegre do Pindaré
458,Alto Parnaíba
459,Amapá do Maranhão
460,Amarante do Maranhão
461,Anajatuba
462,Anapurus
463,Apicum-Açu
464,Araguanã
465,Araioses
466,Arame
467,Arari
468,Axixá
469,Bacabal
470,Bacabeira
471,Bacuri
472,Bacurituba
473,Balsas
474,Barão de Grajaú
475,Barra do Corda
476,Barreirinhas
477,Belágua
478,Bela Vista do Maranhão
479,Benedito Leite
480,Bequimão
481,Bernardo do Mearim
482,Boa Vista do Gurupi
483,Bom Jardim
484,Bom Jesus das Selvas
485,Bom Lugar
486,Brejo
487,Brejo de Areia
488,Buriti
489,Buriti Bravo
490,Buriticupu
491,Buritirana
492,Cachoeira Grande
493,Cajapió
494,Cajari
495,Campestre do Maranhão
496,Cândido Mendes
497,Cantanhede
498,Capinzal do Norte
499,Carolina
500,Carutapera
501,Caxias
502,Cedral
503,Central do Maranhão
504,Centro do Guilherme
505,Centro Novo do Maranhão
506,Chapadinha
507,Cidelândia
508,Codó
509,Coelho Neto
510,Colinas
511,Conceição do Lago-Açu
512,Coroatá
513,Cururupu
514,Davinópolis
515,Dom Pedro
516,Duque Bacelar
517,Esperantinópolis
518,Estreito
519,Feira Nova do Maranhão
520,Fernando Falcão
521,Formosa da Serra Negra
522,Fortaleza dos Nogueiras
523,Fortuna
524,Godofredo Viana
525,Gonçalves Dias
526,Governador Archer
527,Governador Edison Lobão
528,Governador Eugênio Barros
529,Governador Luiz Rocha
530,Governador Newton Bello
531,Governador Nunes Freire
532,Graça Aranha
533,Grajaú
534,Guimarães
535,Humberto de Campos
536,Icatu
537,Igarapé do Meio
538,Igarapé Grande
539,Imperatriz
540,Itaipava do Grajaú
541,Itapecuru Mirim
542,Itinga do Maranhão
543,Jatobá
544,Jenipapo dos Vieiras
545,João Lisboa
546,Joselândia
547,Junco do Maranhão
548,Lago da Pedra
549,Lago do Junco
550,Lago Verde
551,Lagoa do Mato
552,Lago dos Rodrigues
553,Lagoa Grande do Maranhão
554,Lajeado Novo
555,Lima Campos
556,Loreto
557,Luís Domingues
558,Magalhães de Almeida
559,Maracaçumé
560,Marajá do Sena
561,Maranhãozinho
562,Mata Roma
563,Matinha
564,Matões
565,Matões do Norte
566,Milagres do Maranhão
567,Mirador
568,Miranda do Norte
569,Mirinzal
570,Monção
571,Montes Altos
572,Morros
573,Nina Rodrigues
574,Nova Colinas
575,Nova Iorque
576,Nova Olinda do Maranhão
577,Olho d'Água das Cunhãs
578,Olinda Nova do Maranhão
579,Paço do Lumiar
580,Palmeirândia
581,Paraibano
582,Parnarama
583,Passagem Franca
584,Pastos Bons
585,Paulino Neves
586,Paulo Ramos
587,Pedreiras
588,Pedro do Rosário
589,Penalva
590,Peri Mirim
591,Peritoró
592,Pindaré-Mirim
593,Pinheiro
594,Pio XII
595,Pirapemas
596,Poção de Pedras
597,Porto Franco
598,Porto Rico do Maranhão
599,Presidente Dutra
600,Presidente Juscelino
601,Presidente Médici
602,Presidente Sarney
603,Presidente Vargas
604,Primeira Cruz
605,Raposa
606,Riachão
607,Ribamar Fiquene
608,Rosário
609,Sambaíba
610,Santa Filomena do Maranhão
611,Santa Helena
612,Santa Inês
613,Santa Luzia
614,Santa Luzia do Paruá
615,Santa Quitéria do Maranhão
616,Santa Rita
617,Santana do Maranhão
618,Santo Amaro do Maranhão
619,Santo Antônio dos Lopes
620,São Benedito do Rio Preto
621,São Bento
622,São Bernardo
623,São Domingos do Azeitão
624,São Domingos do Maranhão
625,São Félix de Balsas
626,São Francisco do Brejão
627,São Francisco do Maranhão
628,São João Batista
629,São João do Carú
630,São João do Paraíso
631,São João do Soter
632,São João dos Patos
633,São José de Ribamar
634,São José dos Basílios
635,São Luís
636,São Luís Gonzaga do Maranhão
637,São Mateus do Maranhão
638,São Pedro da Água Branca
639,São Pedro dos Crentes
640,São Raimundo das Mangabeiras
641,São Raimundo do Doca Bezerra
642,São Roberto
643,São Vicente Ferrer
644,Satubinha
645,Senador Alexandre Costa
646,Senador La Rocque
647,Serrano do Maranhão
648,Sítio Novo
649,Sucupira do Norte
650,Sucupira do Riachão
651,Tasso Fragoso
652,Timbiras
653,Timon
654,Trizidela do Vale
655,Tufilândia
656,Tuntum
657,Turiaçu
658,Turilândia
659,Tutóia
660,Urbano Santos
661,Vargem Grande
662,Viana
663,Vila Nova dos Martírios
664,Vitória do Mearim
665,Vitorino Freire
666,Zé Doca
667,Acauã
668,Agricolândia
669,Água Branca
670,Alagoinha do Piauí
671,Alegrete do Piauí
672,Alto Longá
673,Altos
674,Alvorada do Gurguéia
675,Amarante
676,Angical do Piauí
677,Anísio de Abreu
678,Antônio Almeida
679,Aroazes
680,Aroeiras do Itaim
681,Arraial
682,Assunção do Piauí
683,Avelino Lopes
684,Baixa Grande do Ribeiro
685,Barra D'Alcântara
686,Barras
687,Barreiras do Piauí
688,Barro Duro
689,Batalha
690,Bela Vista do Piauí
691,Belém do Piauí
692,Beneditinos
693,Bertolínia
694,Betânia do Piauí
695,Boa Hora
696,Bocaina
697,Bom Jesus
698,Bom Princípio do Piauí
699,Bonfim do Piauí
700,Boqueirão do Piauí
701,Brasileira
702,Brejo do Piauí
703,Buriti dos Lopes
704,Buriti dos Montes
705,Cabeceiras do Piauí
706,Cajazeiras do Piauí
707,Cajueiro da Praia
708,Caldeirão Grande do Piauí
709,Campinas do Piauí
710,Campo Alegre do Fidalgo
711,Campo Grande do Piauí
712,Campo Largo do Piauí
713,Campo Maior
714,Canavieira
715,Canto do Buriti
716,Capitão de Campos
717,Capitão Gervásio Oliveira
718,Caracol
719,Caraúbas do Piauí
720,Caridade do Piauí
721,Castelo do Piauí
722,Caxingó
723,Cocal
724,Cocal de Telha
725,Cocal dos Alves
726,Coivaras
727,Colônia do Gurguéia
728,Colônia do Piauí
729,Conceição do Canindé
730,Coronel José Dias
731,Corrente
732,Cristalândia do Piauí
733,Cristino Castro
734,Curimatá
735,Currais
736,Curralinhos
737,Curral Novo do Piauí
738,Demerval Lobão
739,Dirceu Arcoverde
740,Dom Expedito Lopes
741,Domingos Mourão
742,Dom Inocêncio
743,Elesbão Veloso
744,Eliseu Martins
745,Esperantina
746,Fartura do Piauí
747,Flores do Piauí
748,Floresta do Piauí
749,Floriano
750,Francinópolis
751,Francisco Ayres
752,Francisco Macedo
753,Francisco Santos
754,Fronteiras
755,Geminiano
756,Gilbués
757,Guadalupe
758,Guaribas
759,Hugo Napoleão
760,Ilha Grande
761,Inhuma
762,Ipiranga do Piauí
763,Isaías Coelho
764,Itainópolis
765,Itaueira
766,Jacobina do Piauí
767,Jaicós
768,Jardim do Mulato
769,Jatobá do Piauí
770,Jerumenha
771,João Costa
772,Joaquim Pires
773,Joca Marques
774,José de Freitas
775,Juazeiro do Piauí
776,Júlio Borges
777,Jurema
778,Lagoinha do Piauí
779,Lagoa Alegre
780,Lagoa do Barro do Piauí
781,Lagoa de São Francisco
782,Lagoa do Piauí
783,Lagoa do Sítio
784,Landri Sales
785,Luís Correia
786,Luzilândia
787,Madeiro
788,Manoel Emídio
789,Marcolândia
790,Marcos Parente
791,Massapê do Piauí
792,Matias Olímpio
793,Miguel Alves
794,Miguel Leão
795,Milton Brandão
796,Monsenhor Gil
797,Monsenhor Hipólito
798,Monte Alegre do Piauí
799,Morro Cabeça no Tempo
800,Morro do Chapéu do Piauí
801,Murici dos Portelas
802,Nazaré do Piauí
803,Nazária
804,Nossa Senhora de Nazaré
805,Nossa Senhora dos Remédios
806,Novo Oriente do Piauí
807,Novo Santo Antônio
808,Oeiras
809,Olho D'Água do Piauí
810,Padre Marcos
811,Paes Landim
812,Pajeú do Piauí
813,Palmeira do Piauí
814,Palmeirais
815,Paquetá
816,Parnaguá
817,Parnaíba
818,Passagem Franca do Piauí
819,Patos do Piauí
820,Pau D'Arco do Piauí
821,Paulistana
822,Pavussu
823,Pedro II
824,Pedro Laurentino
825,Nova Santa Rita
826,Picos
827,Pimenteiras
828,Pio IX
829,Piracuruca
830,Piripiri
831,Porto
832,Porto Alegre do Piauí
833,Prata do Piauí
834,Queimada Nova
835,Redenção do Gurguéia
836,Regeneração
837,Riacho Frio
838,Ribeira do Piauí
839,Ribeiro Gonçalves
840,Rio Grande do Piauí
841,Santa Cruz do Piauí
842,Santa Cruz dos Milagres
843,Santa Filomena
844,Santa Luz
845,Santana do Piauí
846,Santa Rosa do Piauí
847,Santo Antônio de Lisboa
848,Santo Antônio dos Milagres
849,Santo Inácio do Piauí
850,São Braz do Piauí
851,São Félix do Piauí
852,São Francisco de Assis do Piauí
853,São Francisco do Piauí
854,São Gonçalo do Gurguéia
855,São Gonçalo do Piauí
856,São João da Canabrava
857,São João da Fronteira
858,São João da Serra
859,São João da Varjota
860,São João do Arraial
861,São João do Piauí
862,São José do Divino
863,São José do Peixe
864,São José do Piauí
865,São Julião
866,São Lourenço do Piauí
867,São Luis do Piauí
868,São Miguel da Baixa Grande
869,São Miguel do Fidalgo
870,São Miguel do Tapuio
871,São Pedro do Piauí
872,São Raimundo Nonato
873,Sebastião Barros
874,Sebastião Leal
875,Sigefredo Pacheco
876,Simões
877,Simplício Mendes
878,Socorro do Piauí
879,Sussuapara
880,Tamboril do Piauí
881,Tanque do Piauí
882,Teresina
883,União
884,Uruçuí
885,Valença do Piauí
886,Várzea Branca
887,Várzea Grande
888,Vera Mendes
889,Vila Nova do Piauí
890,Wall Ferraz
891,Abaiara
892,Acarape
893,Acaraú
894,Acopiara
895,Aiuaba
896,Alcântaras
897,Altaneira
898,Alto Santo
899,Amontada
900,Antonina do Norte
901,Apuiarés
902,Aquiraz
903,Aracati
904,Aracoiaba
905,Ararendá
906,Araripe
907,Aratuba
908,Arneiroz
909,Assaré
910,Aurora
911,Baixio
912,Banabuiú
913,Barbalha
914,Barreira
915,Barro
916,Barroquinha
917,Baturité
918,Beberibe
919,Bela Cruz
920,Boa Viagem
921,Brejo Santo
922,Camocim
923,Campos Sales
924,Canindé
925,Capistrano
926,Caridade
927,Cariré
928,Caririaçu
929,Cariús
930,Carnaubal
931,Cascavel
932,Catarina
933,Catunda
934,Caucaia
935,Cedro
936,Chaval
937,Choró
938,Chorozinho
939,Coreaú
940,Crateús
941,Crato
942,Croatá
943,Cruz
944,Deputado Irapuan Pinheiro
945,Ererê
946,Eusébio
947,Farias Brito
948,Forquilha
949,Fortaleza
950,Fortim
951,Frecheirinha
952,General Sampaio
953,Graça
954,Granja
955,Granjeiro
956,Groaíras
957,Guaiúba
958,Guaraciaba do Norte
959,Guaramiranga
960,Hidrolândia
961,Horizonte
962,Ibaretama
963,Ibiapina
964,Ibicuitinga
965,Icapuí
966,Icó
967,Iguatu
968,Independência
969,Ipaporanga
970,Ipaumirim
971,Ipu
972,Ipueiras
973,Iracema
974,Irauçuba
975,Itaiçaba
976,Itaitinga
977,Itapajé
978,Itapipoca
979,Itapiúna
980,Itarema
981,Itatira
982,Jaguaretama
983,Jaguaribara
984,Jaguaribe
985,Jaguaruana
986,Jardim
987,Jati
988,Jijoca de Jericoacoara
989,Juazeiro do Norte
990,Jucás
991,Lavras da Mangabeira
992,Limoeiro do Norte
993,Madalena
994,Maracanaú
995,Maranguape
996,Marco
997,Martinópole
998,Massapê
999,Mauriti
1000,Meruoca
1001,Milagres
1002,Milhã
1003,Miraíma
1004,Missão Velha
1005,Mombaça
1006,Monsenhor Tabosa
1007,Morada Nova
1008,Moraújo
1009,Morrinhos
1010,Mucambo
1011,Mulungu
1012,Nova Olinda
1013,Nova Russas
1014,Novo Oriente
1015,Ocara
1016,Orós
1017,Pacajus
1018,Pacatuba
1019,Pacoti
1020,Pacujá
1021,Palhano
1022,Palmácia
1023,Paracuru
1024,Paraipaba
1025,Parambu
1026,Paramoti
1027,Pedra Branca
1028,Penaforte
1029,Pentecoste
1030,Pereiro
1031,Pindoretama
1032,Piquet Carneiro
1033,Pires Ferreira
1034,Poranga
1035,Porteiras
1036,Potengi
1037,Potiretama
1038,Quiterianópolis
1039,Quixadá
1040,Quixelô
1041,Quixeramobim
1042,Quixeré
1043,Redenção
1044,Reriutaba
1045,Russas
1046,Saboeiro
1047,Salitre
1048,Santana do Acaraú
1049,Santana do Cariri
1050,Santa Quitéria
1051,São Benedito
1052,São Gonçalo do Amarante
1053,São João do Jaguaribe
1054,São Luís do Curu
1055,Senador Pompeu
1056,Senador Sá
1057,Sobral
1058,Solonópole
1059,Tabuleiro do Norte
1060,Tamboril
1061,Tarrafas
1062,Tauá
1063,Tejuçuoca
1064,Tianguá
1065,Trairi
1066,Tururu
1067,Ubajara
1068,Umari
1069,Umirim
1070,Uruburetama
1071,Uruoca
1072,Varjota
1073,Várzea Alegre
1074,Viçosa do Ceará
1075,Acari
1076,Açu
1077,Afonso Bezerra
1078,Água Nova
1079,Alexandria
1080,Almino Afonso
1081,Alto do Rodrigues
1082,Angicos
1083,Antônio Martins
1084,Apodi
1085,Areia Branca
1086,Arês
1087,Augusto Severo
1088,Baía Formosa
1089,Baraúna
1090,Barcelona
1091,Bento Fernandes
1092,Bodó
1093,Bom Jesus
1094,Brejinho
1095,Caiçara do Norte
1096,Caiçara do Rio do Vento
1097,Caicó
1098,Campo Redondo
1099,Canguaretama
1100,Caraúbas
1101,Carnaúba dos Dantas
1102,Carnaubais
1103,Ceará-Mirim
1104,Cerro Corá
1105,Coronel Ezequiel
1106,Coronel João Pessoa
1107,Cruzeta
1108,Currais Novos
1109,Doutor Severiano
1110,Parnamirim
1111,Encanto
1112,Equador
1113,Espírito Santo
1114,Extremoz
1115,Felipe Guerra
1116,Fernando Pedroza
1117,Florânia
1118,Francisco Dantas
1119,Frutuoso Gomes
1120,Galinhos
1121,Goianinha
1122,Governador Dix-Sept Rosado
1123,Grossos
1124,Guamaré
1125,Ielmo Marinho
1126,Ipanguaçu
1127,Ipueira
1128,Itajá
1129,Itaú
1130,Jaçanã
1131,Jandaíra
1132,Janduís
1133,Januário Cicco
1134,Japi
1135,Jardim de Angicos
1136,Jardim de Piranhas
1137,Jardim do Seridó
1138,João Câmara
1139,João Dias
1140,José da Penha
1141,Jucurutu
1142,Jundiá
1143,Lagoa d'Anta
1144,Lagoa de Pedras
1145,Lagoa de Velhos
1146,Lagoa Nova
1147,Lagoa Salgada
1148,Lajes
1149,Lajes Pintadas
1150,Lucrécia
1151,Luís Gomes
1152,Macaíba
1153,Macau
1154,Major Sales
1155,Marcelino Vieira
1156,Martins
1157,Maxaranguape
1158,Messias Targino
1159,Montanhas
1160,Monte Alegre
1161,Monte das Gameleiras
1162,Mossoró
1163,Natal
1164,Nísia Floresta
1165,Nova Cruz
1166,Olho-d'Água do Borges
1167,Ouro Branco
1168,Paraná
1169,Paraú
1170,Parazinho
1171,Parelhas
1172,Rio do Fogo
1173,Passa e Fica
1174,Passagem
1175,Patu
1176,Santa Maria
1177,Pau dos Ferros
1178,Pedra Grande
1179,Pedra Preta
1180,Pedro Avelino
1181,Pedro Velho
1182,Pendências
1183,Pilões
1184,Poço Branco
1185,Portalegre
1186,Porto do Mangue
1187,Serra Caiada
1188,Pureza
1189,Rafael Fernandes
1190,Rafael Godeiro
1191,Riacho da Cruz
1192,Riacho de Santana
1193,Riachuelo
1194,Rodolfo Fernandes
1195,Tibau
1196,Ruy Barbosa
1197,Santa Cruz
1198,Santana do Matos
1199,Santana do Seridó
1200,Santo Antônio
1201,São Bento do Norte
1202,São Bento do Trairí
1203,São Fernando
1204,São Francisco do Oeste
1205,São Gonçalo do Amarante
1206,São João do Sabugi
1207,São José de Mipibu
1208,São José do Campestre
1209,São José do Seridó
1210,São Miguel
1211,São Miguel do Gostoso
1212,São Paulo do Potengi
1213,São Pedro
1214,São Rafael
1215,São Tomé
1216,São Vicente
1217,Senador Elói de Souza
1218,Senador Georgino Avelino
1219,Serra de São Bento
1220,Serra do Mel
1221,Serra Negra do Norte
1222,Serrinha
1223,Serrinha dos Pintos
1224,Severiano Melo
1225,Sítio Novo
1226,Taboleiro Grande
1227,Taipu
1228,Tangará
1229,Tenente Ananias
1230,Tenente Laurentino Cruz
1231,Tibau do Sul
1232,Timbaúba dos Batistas
1233,Touros
1234,Triunfo Potiguar
1235,Umarizal
1236,Upanema
1237,Várzea
1238,Venha-Ver
1239,Vera Cruz
1240,Viçosa
1241,Vila Flor
1242,Água Branca
1243,Aguiar
1244,Alagoa Grande
1245,Alagoa Nova
1246,Alagoinha
1247,Alcantil
1248,Algodão de Jandaíra
1249,Alhandra
1250,São João do Rio do Peixe
1251,Amparo
1252,Aparecida
1253,Araçagi
1254,Arara
1255,Araruna
1256,Areia
1257,Areia de Baraúnas
1258,Areial
1259,Aroeiras
1260,Assunção
1261,Baía da Traição
1262,Bananeiras
1263,Baraúna
1264,Barra de Santana
1265,Barra de Santa Rosa
1266,Barra de São Miguel
1267,Bayeux
1268,Belém
1269,Belém do Brejo do Cruz
1270,Bernardino Batista
1271,Boa Ventura
1272,Boa Vista
1273,Bom Jesus
1274,Bom Sucesso
1275,Bonito de Santa Fé
1276,Boqueirão
1277,Igaracy
1278,Borborema
1279,Brejo do Cruz
1280,Brejo dos Santos
1281,Caaporã
1282,Cabaceiras
1283,Cabedelo
1284,Cachoeira dos Índios
1285,Cacimba de Areia
1286,Cacimba de Dentro
1287,Cacimbas
1288,Caiçara
1289,Cajazeiras
1290,Cajazeirinhas
1291,Caldas Brandão
1292,Camalaú
1293,Campina Grande
1294,Capim
1295,Caraúbas
1296,Carrapateira
1297,Casserengue
1298,Catingueira
1299,Catolé do Rocha
1300,Caturité
1301,Conceição
1302,Condado
1303,Conde
1304,Congo
1305,Coremas
1306,Coxixola
1307,Cruz do Espírito Santo
1308,Cubati
1309,Cuité
1310,Cuitegi
1311,Cuité de Mamanguape
1312,Curral de Cima
1313,Curral Velho
1314,Damião
1315,Desterro
1316,Vista Serrana
1317,Diamante
1318,Dona Inês
1319,Duas Estradas
1320,Emas
1321,Esperança
1322,Fagundes
1323,Frei Martinho
